WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
1,Auckland,ASB Classic,2009-01-04,International,Outdoor,Hard,1st Round,3,Rezai A.,Daniilidou E.,97.0,152.0,706.0,414.0,6.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.4,2.75,1.45,2.6,1.444,2.625,1.444,2.625,1.37,3.0
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Vaidisova N.,Kudryavtseva A.,40.0,68.0,1360.0,916.0,7.0,6.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,1.4,2.75,1.45,2.6,1.444,2.625,1.444,2.625,1.4,2.85
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Razzano V.,74.0,57.0,866.0,1064.0,1.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,3.0,1.36,2.92,1.37,3,1.36,2.875,1.364,2.85,1.4
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Craybas J.,Date Krumm K.,64.0,186.0,974.0,316.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.38,2.87,1.4,2.85,1.444,2.625,1.364,2.875,1.42,2.76
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Gallovits E.,Zakopalova K.,75.0,70.0,864.0,884.0,3.0,6.0,6.0,2.0,7.0,5.0,2.0,1.0,Completed,1.66,2.1,1.75,2.05,1.667,2.1,1.727,2.1,1.7,2.1
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Peer S.,Cetkovska P.,39.0,81.0,1376.0,810.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.286,3.25,1.33,3.2
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Wozniak A.,Rybarikova M.,33.0,58.0,1630.0,1058.0,6.0,3.0,6.0,7.0,7.0,5.0,2.0,1.0,Completed,1.66,2.1,1.7,2.1,1.667,2.1,1.667,2.1,1.62,2.24
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Santangelo M.,22.0,131.0,2172.0,494.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.28,3.5,1.25,3.75,1.25,3.75,1.25,3.5,1.26,3.7
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Vesnina E.,Nakamura A.,76.0,144.0,850.0,438.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.5,2.5,1.53,2.4,1.533,2.375,1.5,2.5,1.55,2.38
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Dechy N.,46.0,67.0,1170.0,926.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,2.5,1.5,2.53,1.48,2.375,1.533,2.375,1.533,2.67,1.45
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Brianti A.,12.0,172.0,3330.0,358.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.1,6.5,1.05,8.5,1.083,7.0,1.083,7.0,1.05,9.0
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Dementieva E.,Chan Y.J.,4.0,73.0,7196.0,872.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.071,7.5,1.07,7.19,1.07,7.5,1.07,7.0,1.04,10.0
1,Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Morita A.,Domachowska M.,83.0,63.0,784.0,998.0,6.0,4.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,1.83,1.83,1.8,1.95,1.83,1.83,1.91,1.8,1.77,2.0
1,Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,1st Round,3,Erakovic M.,Llagostera Vives N.,69.0,65.0,898.0,968.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.9,1.8,1.85,1.9,1.833,1.833,1.8,1.909,2.0,1.78
1,Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,1st Round,3,Keothavong A.,Lucic M.,60.0,435.0,1020.0,92.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.36,3.0,1.37,2.92,1.4,2.75,1.364,2.875,1.34,3.15
1,Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Barrois K.,43.0,89.0,1232.0,766.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.36,3.0,1.35,3.1,1.364,3.0,1.4,2.75,1.33,3.2
1,Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,2nd Round,3,Vesnina E.,Vaidisova N.,76.0,40.0,850.0,1360.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.5,1.5,2.28,1.58,2.5,1.5,2.5,1.533,2.5,1.5
1,Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,2nd Round,3,Peer S.,Zahlavova Strycova B.,39.0,74.0,1376.0,866.0,6.0,3.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.4,2.75,1.37,2.92,1.36,3.0,1.4,2.88,1.43,2.75
1,Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Craybas J.,12.0,64.0,3330.0,974.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,,,1.1,6.25,1.1,6.5,1.125,6.0,1.06,8.75
1,Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Rezai A.,Pavlyuchenkova A.,97.0,43.0,706.0,1232.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,,,2.8,1.4,2.75,1.4,2.75,1.444,2.85,1.4
1,Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Keothavong A.,Suarez Navarro C.,60.0,46.0,1020.0,1170.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.83,1.83,1.9,1.85,1.833,1.833,1.9,1.9,1.8,1.96
1,Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Dementieva E.,Erakovic M.,4.0,69.0,7196.0,898.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.07,7.5,1.1,6.25,1.1,6.5,1.083,7.5,1.1,6.75
1,Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Gallovits E.,Medina Garrigues A.,75.0,22.0,864.0,2172.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,3.75,1.25,3.35,1.3,3.4,1.3,3.5,1.286,3.6,1.27
1,Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Morita A.,Wozniak A.,83.0,33.0,784.0,1630.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,2.5,1.5,2.28,1.58,2.25,1.571,2.25,1.571,2.28,1.6
1,Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,Quarterfinals,3,Rezai A.,Gallovits E.,97.0,75.0,706.0,864.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.8,1.9,1.8,1.95,1.8,1.909,1.909,1.909,1.82,1.94
1,Auckland,ASB Classic,2009-01-08,International,Outdoor,Hard,Quarterfinals,3,Dementieva E.,Peer S.,4.0,39.0,7196.0,1376.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.16,4.5,1.18,4.45,1.167,4.5,1.167,5.0,1.18,4.6
1,Auckland,ASB Classic,2009-01-08,International,Outdoor,Hard,Quarterfinals,3,Keothavong A.,Morita A.,60.0,83.0,1020.0,784.0,6.0,0.0,,,,,1.0,0.0,Retired,1.8,1.9,1.75,2.0,1.8,1.909,1.8,1.909,1.77,2.0
1,Auckland,ASB Classic,2009-01-08,International,Outdoor,Hard,Quarterfinals,3,Vesnina E.,Wozniacki C.,76.0,12.0,850.0,3330.0,6.0,3.0,0.0,6.0,6.0,3.0,2.0,1.0,Completed,4.5,1.16,4.67,1.17,5,1.143,5.0,1.167,5.4,1.14
1,Auckland,ASB Classic,2009-01-08,International,Outdoor,Hard,Semifinals,3,Dementieva E.,Rezai A.,4.0,97.0,7196.0,706.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.1,6.5,1.1,6.25,1.111,6.0,1.1,6.5,1.1,6.75
1,Auckland,ASB Classic,2009-01-09,International,Outdoor,Hard,Semifinals,3,Vesnina E.,Keothavong A.,76.0,60.0,850.0,1020.0,6.0,7.0,6.0,1.0,7.0,5.0,2.0,1.0,Completed,1.53,2.37,1.55,2.35,1.533,2.375,1.615,2.25,1.54,2.4
1,Auckland,ASB Classic,2009-01-10,International,Outdoor,Hard,The Final,3,Dementieva E.,Vesnina E.,4.0,76.0,7196.0,850.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.1,6.5,1.15,5.2,1.125,5.5,1.143,5.5,1.14,5.5
2,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Gajdosova J.,Peng S.,98.0,38.0,706.0,1410.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,2.75,1.4,2.85,1.39,2.62,1.44,2.75,1.4,2.7,1.44
2,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Azarenka V.,Bondarenko K.,16.0,59.0,2788.0,1028.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.16,4.5,1.17,4.67,1.22,4.0,1.222,3.75,1.18,4.6
2,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Bartoli M.,Wejnert M.,17.0,526.0,2740.0,66.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.083,7.0,1.07,7.19,1.05,8.5,1.05,8.0,1.07,8.0
2,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Pironkova T.,Niculescu M.,44.0,47.0,1216.0,1166.0,6.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.66,2.1,1.72,2.05,1.57,2.25,1.571,2.25,1.65,2.18
2,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Kleybanova A.,Kanepi K.,32.0,26.0,1672.0,2044.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,2.2,1.61,2.15,1.65,2.1,1.66,2.2,1.615,2.2,1.62
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Stosur S.,Sugiyama A.,51.0,29.0,1160.0,1870.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.61,2.2,1.65,2.15,1.61,2.2,,,1.64,2.22
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Coin J.,Wickmayer Y.,95.0,71.0,720.0,882.0,7.0,5.0,6.0,7.0,7.0,6.0,2.0,1.0,Completed,2.0,1.72,,,,,,,2.06,1.72
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Karatantcheva S.,Benesova I.,148.0,42.0,428.0,1340.0,1.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,2.1,1.66,,,,,,,2.18,1.65
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Govortsova O.,Schiavone F.,50.0,30.0,1160.0,1838.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,3.0,1.36,2.75,1.42,2.62,1.44,2.625,1.444,3.05,1.36
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Vinci R.,Groenefeld A.L.,82.0,72.0,806.0,876.0,0.0,6.0,6.0,3.0,6.0,1.0,2.0,1.0,Completed,2.62,1.44,,,,,,,2.65,1.46
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Errani S.,Hantuchova D.,41.0,21.0,1352.0,2382.0,6.0,7.0,6.0,4.0,6.0,0.0,2.0,1.0,Completed,2.75,1.4,2.85,1.4,2.62,1.44,2.625,1.444,2.6,1.47
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Mauresmo A.,Dokic J.,23.0,177.0,2092.0,350.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,1.28,3.5,1.3,3.35,1.28,3.5,1.286,3.25,1.3,3.4
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Garbin T.,Arvidsson S.,54.0,55.0,1090.0,1076.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,2.25,1.57,2.3,1.6,2.2,1.61,2.25,1.571,2.34,1.57
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Czink M.,Bondarenko A.,105.0,34.0,654.0,1626.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,3.0,1.36,,,,,,,3.0,1.37
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Safarova L.,Holland I.,61.0,581.0,1010.0,50.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.1,6.5,1.1,6.25,1.14,5.0,1.125,5.5,1.1,6.5
2,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Ivanovic A.,Kvitova P.,5.0,48.0,6912.0,1164.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.12,5.5,1.1,6.25,1.12,5.5,1.125,5.5,1.14,5.5
2,Brisbane,Brisbane International,2009-01-06,International,Outdoor,Hard,2nd Round,3,Garbin T.,Kleybanova A.,54.0,32.0,1090.0,1672.0,4.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,2.87,1.38,2.75,1.42,2.62,1.44,2.625,1.444,2.76,1.42
2,Brisbane,Brisbane International,2009-01-06,International,Outdoor,Hard,2nd Round,3,Azarenka V.,Gajdosova J.,16.0,98.0,2788.0,706.0,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,1.14,5.0,1.17,4.67,1.16,4.5,1.167,5.0,1.12,6.0
2,Brisbane,Brisbane International,2009-01-06,International,Outdoor,Hard,2nd Round,3,Bartoli M.,Czink M.,17.0,105.0,2740.0,654.0,5.0,7.0,6.0,3.0,6.0,1.0,2.0,1.0,Completed,1.16,4.5,1.2,4.25,1.22,4.0,1.222,4.0,1.18,4.6
2,Brisbane,Brisbane International,2009-01-06,International,Outdoor,Hard,2nd Round,3,Safarova L.,Stosur S.,61.0,51.0,1010.0,1160.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.62,1.44,2.3,1.6,2.25,1.571,2.5,1.533,2.38,1.55
2,Brisbane,Brisbane International,2009-01-07,International,Outdoor,Hard,2nd Round,3,Errani S.,Pironkova T.,41.0,44.0,1352.0,1216.0,6.0,7.0,7.0,5.0,6.0,3.0,2.0,1.0,Completed,1.66,2.1,1.65,2.15,1.72,2.0,1.667,2.2,1.67,2.15
2,Brisbane,Brisbane International,2009-01-07,International,Outdoor,Hard,2nd Round,3,Mauresmo A.,Coin J.,23.0,95.0,2092.0,720.0,5.0,7.0,6.0,2.0,7.0,6.0,2.0,1.0,Completed,1.25,3.75,1.25,3.75,1.222,4.0,1.222,4.0,1.28,3.55
2,Brisbane,Brisbane International,2009-01-07,International,Outdoor,Hard,2nd Round,3,Govortsova O.,Karatantcheva S.,50.0,148.0,1160.0,428.0,6.0,0.0,5.0,7.0,7.0,5.0,2.0,1.0,Completed,1.5,2.5,1.55,2.35,1.444,2.625,1.5,2.6,1.5,2.52
2,Brisbane,Brisbane International,2009-01-07,International,Outdoor,Hard,2nd Round,3,Ivanovic A.,Vinci R.,5.0,82.0,6912.0,806.0,6.0,7.0,7.0,5.0,6.0,1.0,2.0,1.0,Completed,1.03,11.0,1.04,9.25,1.063,8.0,1.071,8.0,1.06,8.55
2,Brisbane,Brisbane International,2009-01-08,International,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Safarova L.,16.0,61.0,2788.0,1010.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.33,3.25,1.35,3.1,1.3,3.4,1.333,3.25,1.33,3.2
2,Brisbane,Brisbane International,2009-01-08,International,Outdoor,Hard,Quarterfinals,3,Errani S.,Govortsova O.,41.0,50.0,1352.0,1160.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.66,2.1,1.7,2.1,1.72,2.0,1.727,2.0,1.7,2.1
2,Brisbane,Brisbane International,2009-01-08,International,Outdoor,Hard,Quarterfinals,3,Mauresmo A.,Ivanovic A.,23.0,5.0,2092.0,6912.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,3.5,1.28,3.35,1.3,3.4,1.3,3.2,1.333,3.4,1.3
2,Brisbane,Brisbane International,2009-01-08,International,Outdoor,Hard,Quarterfinals,3,Bartoli M.,Garbin T.,17.0,54.0,2740.0,1090.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.28,3.5,1.25,3.74,1.25,3.75,1.25,3.75,1.24,3.9
2,Brisbane,Brisbane International,2009-01-09,International,Outdoor,Hard,Semifinals,3,Azarenka V.,Errani S.,16.0,41.0,2788.0,1352.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.3,3.4,1.28,3.46,1.33,3.25,1.333,3.2,1.24,3.9
2,Brisbane,Brisbane International,2009-01-09,International,Outdoor,Hard,Semifinals,3,Bartoli M.,Mauresmo A.,17.0,23.0,2740.0,2092.0,4.0,0.0,,,,,0.0,0.0,Retired,2.1,1.66,2.1,1.7,2.1,1.667,2.2,1.667,2.1,1.7
2,Brisbane,Brisbane International,2009-01-10,International,Outdoor,Hard,The Final,3,Azarenka V.,Bartoli M.,16.0,17.0,2788.0,2740.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.4,2.75,1.5,2.45,1.5,2.5,1.5,2.625,1.48,2.56
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Bondarenko A.,Niculescu M.,34.0,48.0,1626.0,1166.0,6.0,4.0,2.0,6.0,6.0,2.0,2.0,1.0,Completed,1.53,2.37,1.58,2.29,1.533,2.375,,,1.63,2.2
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Benesova I.,Tanasugarn T.,41.0,35.0,1340.0,1508.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,1.8,1.9,1.7,2.1,1.8,1.909,,,1.75,2.03
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Rybarikova M.,Bondarenko K.,57.0,58.0,1058.0,1028.0,4.0,6.0,7.0,6.0,6.0,1.0,2.0,1.0,Completed,1.66,2.1,1.65,2.15,1.8,1.909,,,1.78,2.0
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Kvitova P.,Peers S.,49.0,468.0,1164.0,82.0,6.0,0.0,6.0,0.0,,,2.0,0.0,Completed,1.07,7.5,1.07,7.19,1.1,6.5,,,1.12,6.0
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Pironkova T.,Schnyder P.,43.0,15.0,1216.0,3050.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,3.0,1.36,2.8,1.4,3,1.364,,,2.85,1.4
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Radwanska U.,Wozniak A.,127.0,33.0,514.0,1652.0,3.0,6.0,7.0,6.0,7.0,5.0,2.0,1.0,Completed,2.5,1.5,2.45,1.5,2.75,1.4,2.5,1.5,2.6,1.47
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Rogowska O.,42.0,367.0,1260.0,120.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.07,7.5,1.05,8.5,1.1,6.5,1.083,7.5,1.06,8.5
3,Hobart,Moorilla Hobart International,2009-01-11,International,Outdoor,Hard,1st Round,3,Razzano V.,Camerin M.E.,62.0,102.0,996.0,664.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.25,1.65,2.15,1.615,2.2,1.533,2.375,1.6,2.28
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Zheng J.,Erakovic M.,24.0,68.0,2078.0,926.0,6.0,1.0,4.0,6.0,6.0,1.0,2.0,1.0,Completed,1.44,2.62,1.4,2.85,1.4,2.75,1.5,2.625,1.42,2.8
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Czink M.,Garbin T.,100.0,52.0,690.0,1140.0,6.0,2.0,1.0,6.0,7.0,5.0,2.0,1.0,Completed,1.83,1.83,1.8,1.95,1.833,1.833,2.0,1.727,1.85,1.92
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Govortsova O.,Moore J.,45.0,136.0,1190.0,467.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.167,4.5,1.2,4.3
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Keothavong A.,Szavay A.,53.0,25.0,1130.0,2058.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.83,1.83,1.85,1.85,1.909,1.8,1.833,1.833,1.8,1.95
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Santangelo M.,Vaidisova N.,131.0,51.0,494.0,1140.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,3.0,1.36,3.1,1.35,3,1.364,3.0,1.364,3.0,1.37
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Chakvetadze A.,44.0,18.0,1198.0,2724.0,7.0,6.0,1.0,6.0,7.0,5.0,2.0,1.0,Completed,3.5,1.28,3.35,1.3,3.5,1.286,3.5,1.25,3.4,1.3
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Dulko G.,Voegele S.,50.0,126.0,1162.0,516.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.4,2.75,1.45,2.65,1.444,2.625,1.444,2.625,1.46,2.65
3,Hobart,Moorilla Hobart International,2009-01-12,International,Outdoor,Hard,1st Round,3,Pennetta F.,Peer S.,13.0,40.0,3240.0,1376.0,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.36,3.0,1.42,2.75,1.444,2.625,1.444,2.75,1.44,2.7
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Suarez Navarro C.,42.0,44.0,1260.0,1198.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.38,2.87,1.4,2.85,1.364,3.0,1.4,2.75,1.43,2.75
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Dulko G.,Zheng J.,50.0,24.0,1162.0,2078.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.5,1.5,2.35,1.55,2.25,1.571,2.25,1.571,2.46,1.52
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Razzano V.,Keothavong A.,62.0,53.0,996.0,1130.0,4.0,6.0,6.0,0.0,7.0,5.0,2.0,1.0,Completed,1.83,1.83,1.87,1.87,1.909,1.8,1.8,1.909,1.88,1.88
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Benesova I.,Santangelo M.,41.0,131.0,1340.0,494.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.66,2.1,1.7,2.05,1.667,2.1,1.667,2.1,1.68,2.13
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Kvitova P.,Bondarenko A.,49.0,34.0,1164.0,1626.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.61,2.2,1.65,2.15,1.667,2.1,1.667,2.1,1.7,2.1
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Rybarikova M.,Pennetta F.,57.0,13.0,1058.0,3240.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,3.75,1.25,3.46,1.28,3.5,1.286,3.75,1.222,3.7,1.26
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Czink M.,Radwanska U.,100.0,127.0,690.0,514.0,4.0,2.0,,,,,0.0,0.0,Retired,1.61,2.2,1.65,2.15,1.667,2.1,1.727,2.0,1.67,2.15
3,Hobart,Moorilla Hobart International,2009-01-13,International,Outdoor,Hard,2nd Round,3,Pironkova T.,Govortsova O.,43.0,45.0,1216.0,1190.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.44,2.62,1.55,2.35,1.533,2.375,1.533,2.375,1.52,2.46
3,Hobart,Moorilla Hobart International,2009-01-14,International,Outdoor,Hard,Quarterfinals,3,Rybarikova M.,Czink M.,57.0,100.0,1058.0,690.0,6.0,0.0,1.0,6.0,7.0,6.0,2.0,1.0,Completed,1.57,2.25,1.6,2.3,1.571,2.25,1.615,2.2,1.64,2.2
3,Hobart,Moorilla Hobart International,2009-01-14,International,Outdoor,Hard,Quarterfinals,3,Benesova I.,Dulko G.,41.0,50.0,1340.0,1162.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.37,1.53,2.3,1.6,2.2,1.615,2.25,1.571,2.38,1.56
3,Hobart,Moorilla Hobart International,2009-01-14,International,Outdoor,Hard,Quarterfinals,3,Razzano V.,Pironkova T.,62.0,43.0,996.0,1216.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,2.25,1.57,2.05,1.75,2.2,1.615,2.0,1.727,2.15,1.67
3,Hobart,Moorilla Hobart International,2009-01-14,International,Outdoor,Hard,Quarterfinals,3,Kvitova P.,Pavlyuchenkova A.,49.0,42.0,1164.0,1260.0,1.0,6.0,7.0,5.0,6.0,3.0,2.0,1.0,Completed,1.66,2.1,1.7,2.08,1.833,1.833,1.667,2.2,1.75,2.03
3,Hobart,Moorilla Hobart International,2009-01-15,International,Outdoor,Hard,Semifinals,3,Benesova I.,Rybarikova M.,41.0,57.0,1340.0,1058.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.8,1.9,1.73,2.03,1.833,1.833,1.8,2.0,1.82,1.94
3,Hobart,Moorilla Hobart International,2009-01-15,International,Outdoor,Hard,Semifinals,3,Kvitova P.,Razzano V.,49.0,62.0,1164.0,996.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.8,1.9,1.9,1.85,1.72,2.0,1.8,2.0,1.84,1.92
3,Hobart,Moorilla Hobart International,2009-01-16,International,Outdoor,Hard,The Final,3,Kvitova P.,Benesova I.,49.0,41.0,1164.0,1340.0,7.0,5.0,6.0,1.0,,,2.0,0.0,Completed,1.57,2.25,1.7,2.05,1.667,2.1,1.727,2.1,1.7,2.1
4,Sydney,Medibank International,2009-01-11,Premier,Outdoor,Hard,1st Round,3,Kuznetsova S.,Peng S.,8.0,39.0,5072.0,1410.0,3.0,6.0,6.0,1.0,6.0,3.0,2.0,1.0,Completed,1.16,4.5,1.11,5.84,1.16,4.5,1.2,4.0,1.16,5.0
