WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2015-01-04,International,Outdoor,Hard,1st Round,3,Davis L.,Rogers S.,54,72.0,950,722.0,1.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,1.66,2.1,1.68,2.1,1.67,2.1,1.77,2.16,1.77,2.25,1.7,2.09
1,Auckland,ASB Classic,2015-01-04,International,Outdoor,Hard,1st Round,3,Townsend T.,Wickmayer Y.,103,74.0,558,708.0,7.0,5.0,3.0,6.0,6.0,0.0,2.0,1.0,Completed,1.72,2.0,1.82,1.9,1.83,1.83,1.79,2.12,1.88,2.12,1.8,1.95
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Nara K.,Bertens K.,45,68.0,1098,754.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.61,2.2,1.68,2.15,1.67,2.1,1.88,2.01,1.92,2.2,1.75,2.03
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Stephens S.,Soler Espinosa S.,35,65.0,1343,788.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.36,3.0,1.4,2.85,1.33,3.25,1.43,3.01,1.56,3.25,1.39,2.9
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Hantuchova D.,Errani S.,62,14.0,841,2775.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.75,1.4,2.5,1.5,2.62,1.44,2.93,1.45,2.99,1.55,2.63,1.46
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Scheepers C.,26,77.0,1720,693.0,6.0,1.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,1.44,2.62,1.5,2.5,1.44,2.62,1.45,2.93,1.52,2.93,1.45,2.65
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Konjuh A.,Barthel M.,99,41.0,579,1193.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.57,2.25,1.58,2.35,1.53,2.38,1.74,2.21,1.74,2.4,1.62,2.23
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Goerges J.,Tatishvili A.,75,144.0,700,378.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.72,2.0,1.8,2.0,1.67,2.1,1.86,2.03,1.88,2.13,1.74,2.04
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Vandeweghe C.,Vinci R.,38,44.0,1236,1107.0,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.83,1.83,1.82,1.9,1.83,1.83,1.9,1.99,2.05,2.03,1.86,1.89
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Radwanska U.,Schiavone F.,179,78.0,291,692.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.66,2.1,1.68,2.15,1.73,2.0,1.85,2.05,1.85,2.15,1.78,2.0
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Hradecka L.,Kuznetsova S.,153,25.0,346,1730.0,3.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,4.0,1.22,4.0,1.22,3.75,1.25,4.36,1.25,4.36,1.27,3.93,1.23
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Vesnina E.,Mladenovic K.,64,67.0,816,760.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.72,2.0,1.8,2.0,1.73,2.0,1.79,2.12,1.8,2.14,1.75,2.02
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Flipkens K.,Larsson J.,49,71.0,1040,724.0,7.0,6.0,1.0,6.0,7.0,6.0,2.0,1.0,Completed,1.72,2.0,1.82,1.9,1.73,2.0,1.85,2.05,1.9,2.05,1.78,1.98
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Williams V.,Cepelova J.,19,57.0,2091,906.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.25,3.75,1.3,3.4,1.22,4.0,1.22,4.74,1.31,4.74,1.25,3.84
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Glushko J.,8,154.0,4625,344.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.1,7.0,1.11,6.0,1.06,8.0,1.11,8.04,1.12,8.04,1.09,6.92
